Brand Name,Reasons
FAO Schwarz,
Farberware,
"Farmland Foods, Inc.",
Farmlyn Creek,
Fashion Polish,
Fatboy,
Faultless / Bon Ami Company Corporation,
FCA US LLC,
FCTRY,
Federal Express Corporation (FedEx),
Federation Against Copyright Theft (FACT) Ltd,
Felina,
Fellowes ,
Femmesil,Counterfeit
Fencer Wire,
Fender Musical Instruments Corporation,
Ferragamo,
Ferret Company,
Festnight,
FEVER ALERT,
FGM Ventures LLC dba Petpost,
FH Group,
FHI,
Fiesta Kitchenware ,
"FileMaker, Inc.",
Fill-Rite,
Fingerlings,
Finish,
Finishing Touch,
Finnhomy,
Fire Cam,
Fire House Neon LLC,
Fire Sense,
Firepit Essentials,
First Alert,
First Alert Tools and Home Improvement,
First Voice,
FirstKitchen,IP claim
Fisher Price,
Fitbit,
FitDeck,
Fitness Brands Inc./Direct Entertainment Media Group,
FITUEYES,
Five Oceans,
Flawless,
"Fleurville Florida Council of Bromeliad Societies, Inc.",
Flex Seal (As Seen on TV),
Flex Steel Hose,
Flexable Hose,
Flexapedic by Sleep Philosophy,
Flexibrace,
FlexiSnake,
Flexzilla,
Flip Zee Girls,
Flipazoo,
Flipbelt,
Floortex,
Flow Zone,
Flower Beauty,
FOLD'N STORE,
Fonus,
Footprints Publishings Inc.,
Ford Motor Company,
Forearm Forklift,
Formosa,
Formufit,
"Foscam Intelligent Technology co., Ltd.",
Fossil,
Fox (Twentieth Century Fox Film Corporation),
Franklin Electronic,
Fred & Friends,
Fresh Baby,
Fresh Wave,
Freshware,
Frette,
Fridababy,
Frieling,
Frigidaire ,
"Frito-Lay, Inc.",
FrontLineFlags,
Frozen,
Frye,
FSK,
Fubu,
FuelBelt,
Fujikura Composites,
Funko,
Furby Connect,
Furhaven Pet Products,
Furinno,
Furminator,
Furreal Friends,
Future Play,
G & F Products,
G Hughes,
"G. Loomis, Inc.",
Gabor Fitness,
"Gaiam, Inc.",
Gala,
Game,
Gamebot by Laltitude LLC,
Garden Joy,
GARDENITE,
Gardens,
Gardus,
Garmin,
Garnier,
Garry Winogrand Photography,
Garza Food Ventures,
Gaylord Entertainment Company,
GE,
Gear Ultimate,
Gecko Grip Gloves,
Gecko Grip Gloves/Verde River Products,
GEERTOP,
GEFU Spirelli Spiral Slicer,
Gemmy,
General Motors,
General Tools,
Genie Bra,
Genie Cami Shaper,
Genie Custom Fit Bra,
Genie Hour Glass,
Genie Milana Bra,
Genie Slim & Tone Leggings,
Genie Slim Jeggings,
Genie Slim Panties,
Genie Zip Bra,
Genuine Kids,
George,
Georgia Pacific Corp.,
Georgie Girl Australia,
Georgio Armani,
Gerber,
Getty,
Getty / Karibu,
Ghirardelli,
Gianna Rose Atelelier,
Giantex,
GiaRussa,
"Gibson Brands, Inc.",
Gibson Performance Exhaust,
Gillette,
Ginna Rose Atelelier,
Glad,IP Complaint
Glitzhome,
"Global Prepare, LLC dba Mother Earth Products",
Glowbowl,
GMV Productions,
"GN Netcom, dba Jabra",
Go Nutrients,
Go Plus,
Goal Zero,
Godefroy Eyebrow Tint,
Godinger,Amazon Trademark Complaint
GoFit,
GOGO,
Gold Coast,
Gold's Gym,
Golden Bell,
Goldfaden MD,Counterfeit
Goo Gone,
Goodyear,
Google,
Goplus,
Gorilla Carts,
Gorilla Supply,
Gottlieb Development LLC,
Goujxcy,
Gourmia,
GQ Electronics,
Graco,
"Grand Chapter of Phi Sigma Kappa, Inc.",
Grand Lodge Fraternal Order of Police,
GrandeLashMD,
Grandma Moses Properties Company,
Graphics Technology HK Limited,
Graydog Woodenware,
Great Arrivals,
Great Value,
Green Gobbler,
Green Mountain Coffee,IP Violation
Greenco ,
Greendale Home Fashions,
Greenworks,
Gretsch Company,
Griffen,
Grill Daddy,
Grill Kings,
GrillHogs,
GrimmSpeed,
Grip Tex,
Gronomics,
Groshce,
Grow Green,
GrowGreen,
GrowlerWerks,
GSK,
Gucci,
GUESS and MARCIANO Brands,
Guide Gear,
Gummygoods,
Gund,
"GUNNAR Optiks, LLC",
Guthy-Renker Corporation,
Guy Fieri Brands,
H2o Mop X5,
Haier,
Haines,
Hallmark,
Hamilton Beach,
Hamilton Tables,policy warning for counterfeit for this asin: B07ZCS9CMQ
Hammer + Axe,
Hammermill,
HangZ,
Harbinger,Intellectual Property Violations.
Harley-Davidson,
"Hartley Loudspeakers,Inc.",
Harvil,
HASAKA,
Hasbro,
Hashtag Collectibles,
HASMX ,
Hatchimals,
Hathaway,
Hauspanther,
Havit,brand compliance letter
Hawthorne ,
Hayward,
HBO,
"HDMI Licensing, LLC",
Healthforce Superfoods,
Heart to Heart,
Heinz,
Heirs and Estate of Peter William Ham,
HemingWeigh,
Hemp Seed,
Hempz,
Herbivore,
Hermell,
Hertzko,
Hewlett-Packard Company (HP Ink & Toner),
HiGear Design,
Hillstock Collection,
Himalayan Glow,
HKS Europe Ltd,
Hoberman Designs,
Holy Stone,
Homall,
Homasy,
Home Accents,
Home Basics,
Home Discount,received a verification request emai
Home Dynamix,
"Home Power, Inc.",
Homedics,
Homelabs,
HOMESAFE,
homestyles,
Homewell,
Homfa,
HOMZ,
Honda,
Honest Baby,
Honey-Can-Do,
Hoover,
"Horizon Hobby, Inc.",
Hormel,
Hot Wheels,
HotBuckles,
Hotelspa/Hotel Spa,
Household Essentials,
Hovac,
Hoverboards,
Howard Elliot,
Howard Leight,
HP,
HQ Issue,
HQAPR,
HUE,
Huggalugs North America,Infringement type: Trademark 
Hughes,
Hugs Not Drugs,
Huigou,
